aX,aY,aZ,gX,gY,gZ
0.147,-1.909,0.972,72.876,-28.748,-112.061
-0.211,-2.337,0.827,79.834,-44.250,-113.708
-0.472,-2.692,0.731,69.458,-50.049,-94.116
-0.663,-2.907,0.694,36.133,-48.279,-49.683
-0.848,-2.871,0.738,-12.817,-43.640,14.221
-1.018,-2.534,0.816,-58.777,-40.466,89.294
-1.130,-1.990,0.773,-97.412,-39.978,166.138
-1.212,-1.380,0.826,-133.850,-39.185,234.314
-1.252,-0.814,0.882,-165.588,-43.518,278.442
-1.301,-0.097,0.927,-198.364,-54.199,287.354
-1.395,1.013,0.897,-226.990,-57.861,263.672
-1.464,2.386,0.843,-232.056,-40.833,224.365
-1.334,3.703,0.792,-207.520,-1.282,185.059
-0.940,4.000,0.723,-161.804,50.354,150.085
-0.431,4.000,0.565,-105.835,99.792,111.206
0.076,4.000,0.380,-49.377,133.911,57.373
0.292,3.997,0.152,7.141,148.804,-13.000
0.301,3.513,0.168,62.195,143.555,-95.032
0.514,3.050,0.170,114.319,107.666,-178.955
0.690,2.286,0.122,185.486,55.664,-245.361
0.656,0.731,0.110,279.297,3.052,-288.452
0.518,-1.270,0.030,365.723,-46.875,-320.374
-0.056,-3.309,-0.195,395.752,-86.426,-345.093
-0.726,-4.000,-0.257,345.825,-99.609,-355.225
-1.381,-4.000,-0.174,223.511,-85.876,-337.830
-1.871,-4.000,0.181,75.684,-61.035,-269.592
-1.970,-4.000,0.707,-46.814,-48.035,-137.146
-1.861,-3.383,1.012,-119.446,-56.580,30.518
-1.536,-2.774,1.030,-150.757,-74.951,177.734
-1.238,-1.870,1.016,-185.303,-88.684,270.081
-1.175,-0.474,1.164,-249.878,-91.064,311.584
-0.984,1.302,1.158,-313.354,-76.538,307.190
-0.761,3.008,1.111,-320.374,-42.175,262.634
-0.503,4.000,0.961,-248.291,9.705,181.702
-0.159,4.000,0.741,-131.714,65.857,82.336
0.282,4.000,0.766,-18.494,108.521,-8.423
0.573,3.465,0.797,75.012,120.544,-81.299
0.688,2.021,0.676,165.894,101.746,-144.348
0.674,0.184,0.675,254.028,62.500,-205.444
0.318,-1.986,0.460,319.214,17.151,-257.874
-0.261,-3.578,0.196,322.754,-12.573,-287.476
-0.930,-4.000,0.016,233.704,-23.315,-264.282
-1.274,-3.972,0.245,86.365,-33.203,-165.833
-1.291,-3.183,0.654,-54.626,-53.040,-10.620
-1.150,-2.126,0.830,-142.822,-77.637,143.921
