aX,aY,aZ,gX,gY,gZ
0.330,1.572,0.637,-73.547,136.169,62.256
0.292,1.601,0.590,-52.002,133.911,24.414
0.231,1.609,0.518,-28.870,130.127,-13.794
0.167,1.571,0.410,-6.775,125.427,-52.490
0.103,1.537,0.295,12.634,120.911,-90.027
0.066,1.496,0.177,27.161,115.295,-125.183
0.034,1.424,0.063,33.875,107.971,-159.058
0.003,1.376,-0.027,32.288,99.426,-193.176
-0.028,1.350,-0.080,24.963,89.722,-225.159
-0.081,1.308,-0.091,19.165,78.491,-253.357
-0.139,1.232,-0.091,19.043,65.491,-278.625
-0.207,1.169,-0.078,25.513,50.232,-301.086
-0.302,1.080,-0.109,39.307,34.180,-319.702
-0.370,0.947,-0.206,56.458,18.921,-333.862
-0.409,0.827,-0.320,68.787,5.249,-343.628
-0.400,0.700,-0.429,70.923,-8.423,-349.609
-0.370,0.574,-0.535,63.232,-25.330,-354.370
-0.367,0.488,-0.625,47.729,-46.021,-360.413
-0.380,0.428,-0.676,27.283,-70.251,-366.028
-0.391,0.395,-0.694,9.338,-97.351,-369.324
-0.425,0.350,-0.675,0.549,-125.916,-370.056
-0.451,0.270,-0.649,4.456,-154.663,-367.676
-0.460,0.153,-0.680,14.893,-182.251,-360.901
-0.468,0.000,-0.725,21.790,-207.886,-348.267
-0.453,-0.188,-0.772,23.010,-231.873,-331.665
-0.428,-0.401,-0.805,16.479,-257.080,-313.416
-0.398,-0.579,-0.842,3.601,-284.973,-296.753
-0.411,-0.730,-0.842,-15.625,-313.965,-280.579
-0.424,-0.887,-0.788,-41.931,-342.163,-264.160
-0.460,-0.982,-0.644,-74.463,-372.009,-249.390
-0.505,-1.009,-0.446,-106.995,-404.175,-237.000
-0.578,-1.051,-0.267,-131.165,-435.242,-223.999
-0.750,-1.101,-0.064,-152.222,-460.205,-207.153
-0.884,-1.128,0.246,-176.941,-479.065,-187.927
-1.091,-1.146,0.561,-199.707,-491.699,-167.053
-1.266,-1.243,0.940,-221.191,-495.178,-140.991
-1.418,-1.278,1.371,-249.878,-486.023,-107.056
-1.608,-1.161,1.802,-280.396,-458.496,-61.646
-1.827,-0.965,2.216,-303.650,-408.936,-3.662
-1.979,-0.734,2.571,-312.073,-340.210,63.965
-2.058,-0.489,2.841,-295.532,-259.155,129.944
-2.012,-0.291,3.024,-262.390,-179.077,187.012
-1.812,-0.104,3.173,-235.535,-112.915,235.107
-1.555,0.182,3.243,-222.412,-64.026,274.353
-1.298,0.500,3.332,-215.515,-25.269,307.434
-1.149,0.828,3.301,-207.275,9.460,333.191
-0.922,1.092,3.216,-183.411,45.654,345.581
-0.661,1.218,2.867,-147.339,83.069,346.436
-0.654,1.236,2.468,-132.141,122.314,336.731
-0.519,1.420,2.331,-126.282,163.940,323.059
-0.455,1.544,2.080,-127.197,194.824,314.819
-0.411,1.651,1.877,-133.728,218.628,307.922
-0.356,1.758,1.829,-135.010,239.075,298.401
-0.284,1.804,1.800,-124.878,252.136,288.635
-0.239,1.778,1.662,-103.943,255.005,275.330
-0.216,1.740,1.505,-84.412,249.268,256.042
-0.163,1.667,1.373,-74.402,236.633,230.103
-0.128,1.579,1.226,-73.547,220.459,196.594
-0.123,1.555,1.091,-76.721,207.764,157.593
-0.139,1.518,0.996,-79.468,202.759,118.591
-0.186,1.634,0.915,-79.163,205.505,80.078
-0.252,1.689,0.868,-73.425,216.003,47.607
-0.285,1.711,0.935,-58.105,230.103,25.574
-0.309,1.737,1.040,-33.936,239.990,8.972
-0.364,1.728,0.942,0.671,238.037,-6.714
-0.407,1.606,0.754,43.030,231.995,-23.804
-0.442,1.436,0.551,80.078,227.722,-44.617
-0.463,1.264,0.381,101.440,225.342,-69.580
-0.482,1.134,0.216,103.027,223.694,-96.436
-0.492,1.093,0.101,86.304,221.497,-122.559
-0.502,1.079,-0.012,63.171,218.140,-145.996
-0.525,1.063,-0.079,47.913,213.745,-164.978
-0.532,1.022,-0.087,41.687,204.590,-178.650
-0.528,0.948,-0.112,40.649,188.110,-188.477
-0.521,0.849,-0.167,43.823,167.725,-196.411
-0.502,0.722,-0.237,50.903,147.156,-202.820
-0.471,0.588,-0.303,59.021,127.502,-207.825
-0.427,0.481,-0.346,63.293,108.398,-210.754
-0.355,0.372,-0.380,63.293,88.135,-211.060
-0.246,0.219,-0.433,61.462,68.054,-209.412
-0.113,0.044,-0.485,57.373,50.659,-207.458
0.031,-0.120,-0.498,49.438,36.377,-205.627
0.174,-0.263,-0.474,36.194,21.851,-202.881
0.332,-0.411,-0.432,18.982,5.737,-198.547
0.498,-0.567,-0.395,1.892,-11.719,-193.237
0.643,-0.712,-0.320,-14.832,-30.090,-187.683
0.721,-0.809,-0.195,-32.654,-49.011,-182.800
0.729,-0.859,-0.009,-48.828,-70.068,-178.223
0.651,-0.839,0.211,-59.387,-95.093,-173.157
0.548,-0.796,0.426,-62.500,-123.352,-165.894
0.457,-0.766,0.586,-62.195,-152.100,-155.457
0.368,-0.730,0.725,-63.477,-176.514,-141.663
0.300,-0.670,0.880,-69.519,-192.871,-124.268
0.245,-0.602,1.046,-77.698,-200.012,-103.271
0.216,-0.536,1.197,-87.219,-198.059,-80.322
0.202,-0.460,1.344,-98.816,-186.584,-57.373
0.175,-0.354,1.469,-106.750,-166.870,-37.231
0.161,-0.229,1.574,-106.628,-141.418,-21.179
0.160,-0.120,1.643,-99.915,-113.403,-9.033
0.218,-0.006,1.671,-90.088,-85.205,-0.427
0.206,0.123,1.654,-80.078,-59.143,7.202
0.178,0.231,1.603,-70.862,-36.194,12.695
0.182,0.316,1.527,-59.082,-15.320,15.381
0.233,0.393,1.452,-45.166,4.089,17.029
0.287,0.440,1.400,-29.724,22.400,18.738
0.304,0.452,1.356,-13.000,37.659,20.569
0.349,0.420,1.309,1.465,49.438,21.118
0.403,0.362,1.226,11.597,58.167,20.935
0.446,0.309,1.144,18.921,64.880,19.836
0.486,0.270,1.081,24.109,69.824,17.883
0.503,0.217,1.032,28.442,71.472,15.442
0.512,0.162,0.968,30.762,69.214,13.184
0.516,0.121,0.898,30.396,64.087,11.292
0.513,0.093,0.823,27.893,57.007,9.094
0.504,0.081,0.773,23.254,49.011,7.080
0.500,0.078,0.747,16.724,41.443,5.920
0.501,0.081,0.731,10.559,33.691,4.883
0.500,0.087,0.723,6.165,26.672,4.639
0.495,0.094,0.714,3.845,21.362,4.456

-0.432,-1.334,1.529,-119.141,-244.507,37.415
-0.542,-1.273,1.791,-126.282,-235.657,63.354
-0.649,-1.183,2.045,-129.517,-220.154,91.797
