aX,aY,aZ,gX,gY,gZ
-0.196,0.324,2.208,-40.771,-29.663,105.103
-0.158,0.379,2.356,-36.499,-25.452,110.413
-0.133,0.380,2.452,-29.297,-20.752,115.601
-0.177,0.386,2.499,-19.592,-15.747,116.089
-0.269,0.383,2.477,-11.047,-9.338,111.633
-0.362,0.417,2.433,-6.470,-0.427,103.210
-0.435,0.481,2.371,-4.395,12.756,93.384
-0.478,0.531,2.286,-2.625,29.480,84.473
-0.478,0.541,2.150,-1.465,48.828,77.148
-0.437,0.565,2.026,-4.395,70.435,71.350
-0.395,0.644,1.940,-9.277,91.736,65.247
-0.337,0.727,1.869,-10.498,109.558,59.082
-0.272,0.832,1.786,-8.423,120.850,53.650
-0.215,0.904,1.687,-5.127,125.549,49.255
-0.173,0.971,1.584,0.854,125.061,43.945
-0.144,0.985,1.470,10.132,120.728,36.011
-0.130,0.944,1.314,19.531,115.234,25.391
-0.121,0.917,1.136,22.461,110.901,13.000
-0.117,0.947,0.977,19.836,110.413,-0.183
-0.108,1.017,0.841,17.151,115.234,-11.230
-0.101,1.093,0.725,16.724,123.169,-19.348
-0.078,1.134,0.605,18.005,130.005,-24.719
-0.025,1.150,0.492,19.470,133.667,-29.053
0.038,1.123,0.370,20.020,134.277,-34.119
0.101,1.092,0.281,20.142,131.104,-41.565
0.153,1.077,0.209,18.799,124.329,-50.781
0.161,1.074,0.148,17.761,115.417,-59.204
0.148,1.043,0.094,19.409,104.248,-66.223
0.149,0.975,0.025,22.156,91.858,-71.655
0.163,0.888,-0.057,24.292,80.444,-75.867
0.170,0.783,-0.144,24.292,69.946,-79.712
0.167,0.670,-0.248,22.278,62.073,-83.801
0.152,0.606,-0.335,16.724,56.396,-89.050
0.127,0.582,-0.375,8.606,51.941,-94.116
0.086,0.535,-0.386,3.845,46.143,-98.511
0.048,0.464,-0.368,3.357,37.231,-102.905
0.040,0.334,-0.361,3.845,23.621,-108.154
0.037,0.197,-0.350,3.357,7.996,-113.953
-0.020,0.013,-0.359,-0.916,-5.920,-119.751
-0.085,-0.134,-0.366,-9.766,-15.503,-124.939
-0.151,-0.214,-0.305,-20.447,-19.287,-128.235
-0.220,-0.242,-0.167,-29.968,-19.531,-126.831
-0.255,-0.261,0.022,-35.828,-21.790,-119.263
-0.263,-0.334,0.216,-36.011,-28.687,-106.079
-0.260,-0.474,0.352,-30.640,-41.077,-92.468
-0.253,-0.650,0.385,-24.475,-55.786,-81.970
-0.263,-0.810,0.415,-22.522,-67.078,-75.439
-0.303,-0.870,0.453,-27.039,-72.266,-71.106
-0.329,-0.843,0.554,-33.813,-71.777,-65.796
-0.350,-0.828,0.722,-37.292,-67.749,-56.702
-0.349,-0.782,0.916,-37.048,-66.040,-44.739
-0.322,-0.788,0.991,-35.828,-68.542,-30.945
-0.257,-0.781,1.045,-35.461,-72.021,-16.785
-0.229,-0.755,1.140,-35.034,-73.730,-5.493
-0.210,-0.732,1.187,-34.668,-74.463,2.563
-0.192,-0.698,1.248,-33.813,-75.073,8.179
-0.214,-0.650,1.250,-31.738,-75.562,11.597
-0.191,-0.625,1.260,-29.053,-74.219,14.954
-0.164,-0.572,1.303,-27.466,-70.984,19.165
-0.120,-0.516,1.383,-26.794,-68.970,24.353
-0.038,-0.498,1.468,-24.597,-68.237,30.090
-0.010,-0.497,1.487,-22.095,-67.200,36.011
-0.007,-0.456,1.496,-18.250,-63.660,39.673
-0.002,-0.484,1.472,-13.428,-58.838,42.114
-0.020,-0.552,1.410,-9.949,-54.077,42.603
-0.034,-0.580,1.353,-9.827,-49.438,39.978
-0.015,-0.561,1.433,-11.475,-44.189,36.011
-0.006,-0.592,1.540,-13.000,-44.617,35.034
0.000,-0.552,1.577,-14.038,-50.354,37.659
-0.005,-0.425,1.617,-15.076,-54.565,44.495
-0.001,-0.361,1.687,-13.733,-53.711,58.228
0.018,-0.323,1.715,-9.094,-49.683,73.425
0.028,-0.294,1.693,-3.418,-43.274,85.510
0.035,-0.306,1.656,0.977,-35.156,93.323
0.050,-0.290,1.650,0.854,-27.222,95.825
0.076,-0.208,1.702,-5.859,-20.935,94.482
0.087,-0.097,1.782,-14.221,-16.479,91.492
0.094,0.018,1.865,-18.494,-13.184,87.463
0.077,0.138,1.876,-17.395,-10.254,83.496
0.062,0.194,1.869,-14.038,-5.554,81.482
0.047,0.245,1.795,-10.071,1.831,79.956
0.046,0.270,1.753,-6.531,12.512,78.491
0.057,0.298,1.724,-4.578,23.560,77.515
0.073,0.332,1.698,-3.540,33.142,76.172
0.082,0.366,1.658,-2.747,40.527,74.646
