aX,aY,aZ,gX,gY,gZ
-0.884,-0.809,2.372,179.016,-63.965,45.715
-0.790,-1.130,2.560,173.035,-84.717,39.612
-0.510,-1.497,2.563,140.564,-98.816,26.062
-0.289,-1.554,2.530,82.458,-99.976,-0.977
-0.268,-1.255,2.530,23.560,-91.370,-33.508
-0.194,-0.799,2.608,-14.404,-77.698,-58.350
-0.125,-0.450,2.702,-27.527,-67.383,-66.467
-0.065,-0.320,2.722,-19.897,-64.941,-59.509
-0.150,-0.342,2.604,-15.015,-68.542,-46.021
-0.347,-0.347,2.419,-16.846,-70.984,-31.677
-0.434,-0.357,2.222,-20.203,-64.758,-18.555
-0.415,-0.468,1.949,-24.414,-45.654,-8.850
-0.318,-0.305,1.877,-37.781,-11.658,-1.343
-0.274,-0.227,1.858,-47.852,35.278,7.690
-0.193,-0.148,1.967,-54.138,82.764,18.921
-0.185,-0.295,2.063,-59.021,110.413,31.311
-0.265,-0.447,2.113,-66.833,106.445,35.461
-0.347,-0.497,2.047,-74.829,71.594,28.076
-0.379,-0.463,1.948,-72.021,21.057,13.428
-0.438,-0.376,1.670,-68.420,-26.978,0.366
-0.464,-0.323,1.509,-70.313,-55.237,-5.127
-0.434,-0.322,1.449,-78.613,-60.730,-7.446
-0.419,-0.267,1.484,-98.206,-47.729,-7.690
-0.403,-0.198,1.644,-122.009,-24.109,-6.104
-0.307,-0.068,1.811,-140.015,-0.122,-5.310
-0.266,0.132,1.868,-140.137,17.029,-6.775
-0.276,0.245,1.871,-118.591,27.161,-7.751
-0.230,0.235,1.938,-80.811,32.043,-8.118
-0.164,0.138,1.975,-40.344,34.119,-9.460
-0.158,0.090,2.021,-9.033,35.217,-12.451
-0.175,0.068,2.052,11.169,34.302,-15.259
-0.196,0.057,2.064,23.437,30.701,-16.357
-0.175,0.040,2.070,31.067,23.743,-16.174
-0.204,0.014,1.968,38.086,12.695,-16.357
-0.262,-0.037,1.804,47.058,1.648,-16.846
-0.297,-0.134,1.659,57.678,-6.531,-18.616
-0.328,-0.201,1.526,69.641,-12.878,-23.437
-0.326,-0.247,1.434,77.087,-17.273,-28.320
-0.307,-0.286,1.368,72.632,-19.287,-30.212
-0.283,-0.287,1.272,56.519,-18.677,-29.846
-0.266,-0.228,1.177,32.593,-14.221,-27.710
-0.240,-0.183,1.124,9.338,-5.005,-23.865
-0.203,-0.155,1.146,-7.690,7.385,-18.860
-0.172,-0.111,1.199,-17.944,18.982,-14.709
-0.166,-0.080,1.233,-23.682,24.841,-10.864
-0.159,-0.082,1.245,-28.381,24.292,-5.737
-0.158,-0.085,1.218,-31.860,19.592,-2.197
-0.164,-0.052,1.181,-34.973,13.672,0.122
-0.179,-0.030,1.119,-40.161,8.728,3.540
-0.188,0.032,1.058,-43.945,6.531,7.080
-0.181,0.044,1.027,-42.297,7.385,9.216
-0.167,0.050,1.027,-35.950,9.705,9.644
-0.140,0.029,1.035,-26.062,12.451,9.521
-0.116,0.014,1.053,-16.357,14.587,8.057
-0.110,-0.010,1.056,-9.155,15.259,5.615
-0.119,-0.045,1.026,-4.272,14.832,2.808
-0.132,-0.057,0.985,-3.113,14.954,0.183
-0.151,-0.050,0.967,-3.784,16.113,-2.441
-0.148,-0.047,0.967,-5.310,17.700,-3.784
-0.133,0.089,1.001,-7.385,19.348,-4.028
-0.122,0.112,1.001,-7.935,20.508,-1.465
-0.133,0.110,0.999,-4.089,20.935,2.136
-0.116,0.080,0.983,3.967,21.179,2.441
-0.124,0.108,0.983,14.099,21.118,-0.671
-0.153,0.103,0.975,24.292,21.057,-2.991
-0.190,0.069,0.956,30.701,22.583,-3.235
-0.244,0.101,0.911,32.654,25.818,-3.052
-0.191,-0.036,0.939,33.875,29.846,-1.709
-0.135,-0.085,0.969,31.982,32.349,-1.160
-0.109,-0.118,0.979,26.855,31.677,-2.502
-0.102,-0.093,0.957,21.606,28.015,-3.784
-0.107,-0.095,0.921,15.137,22.888,-4.395
-0.107,-0.096,0.868,7.324,18.860,-3.784
-0.041,-0.062,0.838,-0.427,16.479,-3.113
-0.023,-0.018,0.819,-4.028,15.991,-1.892
-0.036,-0.002,0.845,-4.272,16.113,0.000
-0.046,0.011,0.880,-3.662,16.663,0.854
-0.053,0.007,0.928,-2.625,18.188,1.526
-0.056,-0.014,0.961,-2.747,20.203,1.526
-0.068,-0.036,1.003,-4.700,21.240,0.732
-0.079,-0.036,1.043,-7.141,20.813,-1.343
-0.089,-0.033,1.052,-7.324,19.470,-3.845
-0.099,-0.022,1.031,-5.188,18.250,-7.019
-0.072,-0.021,1.000,-1.953,17.456,-10.437
-0.081,0.010,0.992,1.709,17.029,-14.709
-0.086,0.034,0.984,10.071,16.968,-18.555
-0.080,0.034,0.971,19.653,17.273,-19.836
-0.082,0.024,0.988,26.123,17.029,-18.250
-0.075,-0.001,1.008,32.776,15.503,-16.235
-0.072,-0.005,1.050,39.734,12.634,-15.686
-0.069,-0.003,1.085,47.729,8.667,-16.357
-0.061,-0.028,1.099,55.725,4.700,-17.090
-0.059,-0.069,1.095,61.829,1.099,-17.822
-0.057,-0.093,1.068,65.979,-2.441,-18.738
-0.057,-0.130,1.035,65.430,-5.188,-19.409
-0.047,-0.174,1.001,60.425,-7.568,-20.386
-0.057,-0.186,0.984,53.162,-9.644,-20.996
-0.061,-0.193,0.941,43.579,-11.353,-21.301
-0.064,-0.185,0.906,31.982,-12.634,-21.484
-0.083,-0.198,0.913,18.982,-13.977,-21.240
-0.098,-0.191,0.943,3.479,-15.320,-20.447
-0.083,-0.177,0.961,-9.705,-16.113,-18.921
-0.077,-0.137,0.971,-20.569,-16.541,-16.663
-0.088,-0.073,0.969,-28.809,-16.174,-13.123
-0.087,-0.054,0.956,-34.180,-14.587,-7.263
-0.059,-0.049,0.940,-38.330,-11.658,-1.404
-0.043,-0.054,0.917,-41.199,-7.996,2.136
-0.054,-0.062,0.897,-39.673,-4.211,2.319
-0.062,-0.064,0.905,-35.706,-0.732,0.122
-0.066,-0.053,0.906,-35.706,3.113,-1.770
-0.070,-0.056,0.896,-37.231,7.141,-2.014
-0.072,-0.059,0.887,-38.330,11.108,-1.709
-0.071,-0.051,0.882,-39.612,14.648,-1.770
-0.066,-0.038,0.897,-40.710,16.602,-1.892
-0.061,-0.020,0.953,-40.283,17.029,-1.709
-0.064,-0.006,1.012,-37.170,15.686,-1.892
-0.070,0.000,1.054,-33.020,12.268,-2.075
-0.077,0.016,1.068,-28.809,7.690,-2.380
-0.089,0.026,1.061,-22.522,4.028,-2.502

0.011,-0.458,1.951,-6.104,-64.941,-1.343
-0.001,-0.363,1.885,-28.687,-65.247,-8.301
-0.108,-0.197,1.901,-37.415,-68.909,-15.076
-0.121,0.052,1.939,-26.978,-68.359,-19.348
-0.116,0.232,1.954,-4.883,-60.669,-18.311
-0.166,0.228,2.124,28.687,-50.049,-14.160
-0.069,0.217,2.299,53.284,-44.800,-9.155
0.053,0.191,2.262,53.406,-50.110,-2.258
0.076,0.210,2.096,46.265,-60.120,4.333
0.076,0.146,1.883,44.861,-67.932,10.376
0.100,0.034,1.723,46.875,-67.993,16.418
0.044,-0.140,1.693,44.067,-57.983,19.104
-0.157,-0.334,1.827,27.893,-41.870,16.174
-0.375,-0.452,2.037,-3.479,-29.358,13.367
-0.477,-0.491,2.234,-39.734,-29.053,14.099
-0.540,-0.310,2.271,-70.862,-41.138,12.024
-0.615,-0.060,2.170,-81.604,-54.504,9.460
-0.586,0.094,2.051,-70.007,-57.312,12.451
-0.469,0.173,2.026,-41.809,-46.692,19.043
-0.344,0.089,2.193,2.075,-31.006,22.766
-0.273,-0.021,2.252,45.349,-22.583,20.081
-0.335,-0.092,2.121,80.505,-24.292,12.451
-0.416,-0.129,1.972,106.018,-29.236,3.601
-0.445,-0.237,1.913,112.854,-29.358,4.272
-0.447,-0.342,2.033,99.060,-21.423,10.254
-0.271,-0.376,2.120,68.848,-9.033,15.625
-0.038,-0.315,2.089,31.433,4.944,18.127
0.091,-0.238,1.993,0.732,19.287,15.869
0.070,-0.140,1.807,-10.376,33.386,7.263
-0.067,-0.071,1.616,-0.305,45.898,-2.869
-0.240,-0.083,1.495,19.043,54.749,-10.376
-0.372,-0.196,1.443,37.903,57.800,-13.855
-0.400,-0.366,1.492,45.898,54.138,-14.526
-0.301,-0.514,1.613,38.513,44.006,-15.625
-0.187,-0.539,1.675,10.681,28.625,-15.686
-0.172,-0.484,1.665,-27.832,13.855,-15.076
-0.187,-0.346,1.634,-58.350,3.906,-15.320
-0.184,-0.159,1.600,-71.899,-0.854,-17.395
-0.204,0.001,1.544,-68.176,-1.831,-19.653
-0.255,0.083,1.525,-56.213,0.977,-19.104
-0.270,0.123,1.527,-44.495,4.578,-15.442
-0.277,0.123,1.518,-35.034,6.165,-9.888
-0.287,0.083,1.487,-30.640,3.906,-4.578
-0.298,0.017,1.411,-32.898,-0.061,-0.732
-0.304,-0.021,1.278,-37.048,-2.686,0.427
-0.284,-0.084,1.196,-40.649,-3.174,-2.869
-0.330,-0.088,1.304,-47.974,-2.808,-9.583
-0.430,-0.050,1.440,-50.720,-4.883,-16.663
-0.483,0.004,1.496,-45.715,-12.024,-18.860
-0.472,0.061,1.494,-35.339,-21.973,-14.832
-0.386,0.093,1.383,-23.865,-30.090,-6.348
-0.248,0.072,1.323,-14.771,-32.349,0.488
-0.161,0.097,1.324,-9.888,-30.762,1.221
-0.126,0.145,1.310,-7.751,-27.344,-1.160
-0.145,0.145,1.235,-4.578,-22.217,-1.465
-0.165,0.113,1.172,-0.610,-14.465,-0.793
-0.165,0.081,1.152,4.089,-5.371,-0.061
-0.167,0.029,1.175,8.301,3.418,1.038
-0.158,-0.016,1.215,6.775,10.864,1.587
-0.151,-0.060,1.292,3.418,15.564,0.549
-0.173,-0.085,1.337,-1.343,15.137,-0.549
-0.210,-0.068,1.344,-6.958,11.169,-0.549
-0.231,-0.036,1.309,-11.169,5.127,1.465
-0.219,-0.010,1.235,-13.367,-1.160,4.944
-0.208,0.021,1.164,-12.146,-6.287,6.165
-0.204,0.044,1.121,-8.545,-9.705,5.615
-0.208,0.047,1.053,-2.808,-11.719,5.310
-0.206,0.031,0.994,4.028,-12.085,5.371
-0.207,-0.003,0.957,10.254,-10.986,4.883
-0.250,-0.034,0.939,14.160,-9.277,2.991
-0.212,-0.007,0.864,14.832,-5.920,-1.099
-0.169,0.060,0.870,18.555,-0.244,-5.798
-0.176,0.097,0.960,25.085,5.981,-7.629
-0.195,0.057,0.949,32.227,9.399,-7.324
-0.159,0.015,0.947,38.086,10.376,-8.484
-0.116,0.004,0.937,41.199,10.681,-9.033
-0.109,-0.011,0.896,41.138,10.437,-7.996
-0.128,-0.010,0.863,40.588,10.193,-6.348
-0.140,-0.032,0.838,40.405,9.705,-5.310
-0.125,-0.048,0.820,37.354,10.193,-4.944
-0.096,-0.079,0.812,32.471,11.414,-4.272
-0.089,-0.116,0.792,26.306,12.207,-4.272
-0.113,-0.141,0.793,19.592,12.451,-6.348
-0.155,-0.120,0.825,15.686,12.146,-10.010
-0.185,-0.064,0.867,15.869,11.414,-13.611
-0.189,-0.021,0.871,20.752,10.559,-15.137
-0.186,-0.023,0.886,28.931,9.033,-14.893
-0.176,-0.042,0.925,39.429,6.958,-14.893
-0.133,-0.062,0.949,49.377,3.967,-15.686
-0.067,-0.077,0.938,52.734,0.549,-16.418
-0.016,-0.057,0.904,48.889,-2.380,-16.724
0.006,-0.075,0.862,45.959,-3.174,-18.250
-0.006,-0.125,0.828,48.401,-1.343,-21.606
-0.042,-0.183,0.826,54.382,3.296,-27.222
-0.076,-0.204,0.833,59.326,8.850,-33.325
-0.107,-0.192,0.872,63.293,14.221,-38.025
-0.114,-0.202,0.940,66.895,18.738,-40.283
-0.112,-0.242,1.003,68.848,20.935,-40.588
-0.136,-0.296,1.026,63.354,20.874,-40.466
-0.131,-0.263,1.028,53.528,21.545,-42.664
-0.149,-0.195,1.100,49.805,20.996,-43.701
-0.198,-0.165,1.143,40.588,17.334,-39.856
-0.233,-0.181,1.150,28.687,12.878,-33.264
-0.223,-0.209,1.123,14.038,9.094,-26.062
-0.189,-0.204,1.068,-5.920,5.920,-18.921
-0.152,-0.177,1.035,-26.306,3.723,-12.512
-0.120,-0.136,0.987,-44.006,2.869,-6.592
-0.099,-0.118,0.965,-59.998,3.113,-1.526
-0.083,-0.116,0.975,-72.266,4.578,1.892
-0.083,-0.116,0.975,-80.078,6.470,3.052
-0.115,-0.110,0.966,-85.266,8.789,2.380
-0.176,-0.117,0.957,-90.027,11.230,1.282
-0.166,-0.130,0.930,-96.680,13.916,0.000
-0.149,-0.090,0.939,-102.234,18.188,-2.686
-0.143,-0.048,0.924,-104.431,22.644,-6.287
-0.137,-0.007,0.899,-110.596,26.733,-9.216
-0.134,0.013,0.883,-123.291,30.090,-10.132
-0.135,0.047,0.887,-136.780,32.349,-9.583
-0.131,0.053,0.990,-148.987,33.936,-8.057

1.364,0.129,-2.407,-164.246,181.519,1.282
1.563,0.044,-1.720,-194.092,209.717,6.042
1.275,0.140,-1.124,-215.576,174.438,7.874
1.048,0.320,-0.608,-181.641,82.703,7.629
0.680,0.293,-0.152,-81.909,-31.677,14.343
-0.100,0.099,-0.010,36.072,-135.193,21.179
-0.736,-0.061,0.133,132.751,-198.364,18.311
-1.172,-0.276,0.581,180.115,-209.473,16.174
-1.413,-0.332,1.146,195.923,-185.791,10.620
