aX,aY,aZ,gX,gY,gZ
0.351,-0.476,1.894,-5.432,-31.372,-19.653
0.276,-0.568,1.972,-10.376,-15.198,-24.292
0.202,-0.631,2.099,-19.348,4.211,-26.428
0.140,-0.659,2.269,-29.175,23.499,-25.391
0.098,-0.679,2.460,-34.363,39.368,-21.545
0.058,-0.751,2.598,-33.630,50.842,-15.259
0.026,-0.900,2.681,-27.954,60.730,-8.301
-0.030,-1.035,2.667,-19.958,72.144,-2.441
-0.201,-1.093,2.565,-13.000,87.708,1.038
-0.434,-1.026,2.378,-6.592,110.352,3.052
-0.640,-0.922,2.166,0.549,139.709,6.775
-0.787,-0.803,1.964,9.460,171.387,14.160
-0.871,-0.654,1.799,21.240,199.951,25.269
-0.937,-0.476,1.580,36.255,218.933,40.955
-0.955,-0.335,1.329,53.711,226.196,61.035
-0.945,-0.221,0.945,69.519,223.572,82.214
-0.890,-0.153,0.602,79.407,214.783,100.769
-0.793,-0.062,0.269,81.177,202.271,113.770
-0.661,0.052,0.011,74.707,186.951,119.934
-0.515,0.148,-0.138,64.697,169.617,119.934
-0.382,0.224,-0.280,57.983,150.085,113.647
-0.254,0.292,-0.397,52.979,131.348,104.553
-0.143,0.370,-0.424,45.288,115.356,94.849
-0.064,0.460,-0.400,37.903,99.304,86.182
-0.005,0.524,-0.333,33.264,80.750,79.712
0.037,0.584,-0.275,31.006,59.998,75.867
0.090,0.622,-0.216,29.541,37.659,74.524
0.147,0.634,-0.127,28.320,17.334,74.585
0.211,0.644,-0.052,27.527,-1.282,73.914
0.269,0.619,0.025,26.978,-16.602,70.984
0.316,0.559,0.089,25.635,-28.992,63.843
0.335,0.510,0.136,22.400,-37.354,52.124
0.348,0.483,0.232,14.954,-40.161,39.612
0.364,0.460,0.355,5.310,-38.391,28.809
0.373,0.438,0.478,-2.136,-34.607,20.142
0.370,0.417,0.581,-7.019,-29.663,13.855
0.365,0.394,0.682,-10.742,-24.292,9.277
0.368,0.364,0.764,-12.878,-19.897,6.470
0.371,0.330,0.823,-13.184,-16.541,4.761
0.368,0.313,0.884,-13.489,-13.367,3.845
0.369,0.288,0.941,-12.939,-11.719,3.296
0.380,0.256,0.975,-11.841,-11.536,2.319
0.380,0.235,0.990,-10.315,-11.292,0.366
0.380,0.208,0.983,-7.996,-10.193,-1.465
0.391,0.151,0.964,-6.348,-7.690,-3.296
0.401,0.130,0.961,-6.653,-3.235,-5.371
0.404,0.122,0.965,-7.629,1.404,-8.423
0.409,0.104,0.956,-8.118,4.761,-10.986
0.431,0.080,0.942,-8.484,7.385,-13.428
0.443,0.065,0.952,-9.399,8.301,-15.869
0.449,0.073,0.952,-9.155,7.690,-18.250
0.454,0.043,0.952,-8.057,5.615,-19.043
0.458,0.023,0.937,-6.653,2.930,-18.860
0.453,-0.010,0.918,-5.371,0.183,-18.616
0.441,-0.016,0.900,-5.005,-1.526,-18.250
0.426,-0.028,0.894,-5.249,-2.380,-17.334
0.421,-0.028,0.894,-5.859,-2.625,-15.747
0.413,-0.039,0.888,-6.836,-2.747,-13.672
0.417,-0.037,0.894,-7.935,-2.258,-11.658
0.419,-0.035,0.903,-8.911,-1.770,-10.010
0.424,-0.027,0.915,-8.911,-1.709,-8.545
0.417,-0.004,0.933,-8.179,-2.258,-7.874
0.411,-0.006,0.928,-6.836,-3.357,-6.653
0.413,-0.009,0.919,-4.822,-4.578,-5.981
0.414,-0.028,0.907,-2.808,-5.432,-5.676
0.409,-0.041,0.874,-1.526,-6.226,-6.409
0.399,-0.050,0.847,-1.709,-5.981,-7.690
0.395,-0.056,0.838,-2.686,-5.371,-9.094
0.391,-0.056,0.829,-3.845,-4.333,-9.888
0.391,-0.057,0.829,-4.700,-4.028,-9.644
0.401,-0.061,0.828,-5.188,-4.333,-8.911
0.412,-0.065,0.828,-5.737,-5.371,-7.568
0.423,-0.061,0.838,-6.348,-6.653,-5.920
0.430,-0.055,0.854,-6.592,-8.911,-4.517
0.438,-0.052,0.863,-6.287,-11.658,-3.052
0.444,-0.051,0.866,-5.554,-14.099,-1.221
0.447,-0.047,0.879,-5.127,-15.503,0.244
0.443,-0.041,0.891,-4.822,-15.991,1.282
0.442,-0.026,0.906,-4.822,-15.503,2.014
0.439,-0.013,0.922,-4.517,-14.099,2.747
0.441,-0.007,0.934,-3.540,-12.451,3.784
0.449,-0.006,0.944,-2.991,-10.742,4.578
0.455,-0.006,0.958,-2.930,-9.705,4.333
0.457,-0.005,0.970,-2.502,-9.216,3.235
0.454,-0.004,0.971,-1.587,-9.338,1.709
0.449,-0.001,0.967,-0.793,-9.277,0.366
0.440,0.001,0.969,-0.244,-8.240,-0.854
0.431,0.004,0.971,0.122,-6.836,-1.526
0.426,0.006,0.971,1.099,-5.615,-1.770
0.424,-0.001,0.963,2.380,-4.456,-2.014
0.419,-0.008,0.955,3.052,-4.089,-2.563
0.415,-0.007,0.946,2.869,-3.784,-3.418
0.407,-0.005,0.939,2.808,-3.906,-4.089
0.404,-0.008,0.939,2.441,-3.967,-4.395
0.400,-0.013,0.933,2.075,-4.333,-4.639
0.396,-0.020,0.919,2.075,-3.723,-4.761
0.394,-0.026,0.910,1.709,-3.235,-4.944
0.394,-0.031,0.910,0.732,-2.075,-4.883
0.396,-0.035,0.915,0.244,-1.648,-4.944
0.397,-0.028,0.924,0.305,-1.953,-5.005
0.392,-0.023,0.926,0.549,-2.808,-4.639
0.392,-0.018,0.926,1.099,-3.723,-3.967
0.392,-0.017,0.926,1.953,-4.761,-2.563
0.397,-0.016,0.927,2.380,-5.310,-0.977
0.403,-0.018,0.931,2.808,-5.615,0.366
0.408,-0.022,0.930,3.479,-6.042,0.854
0.409,-0.030,0.918,3.723,-6.165,0.977
0.409,-0.031,0.910,3.357,-5.737,1.221
0.413,-0.029,0.911,2.258,-4.578,1.099
0.412,-0.026,0.919,0.977,-2.686,0.977
0.411,-0.021,0.924,0.183,-1.221,0.854
0.417,-0.016,0.931,-0.549,-0.488,0.549
0.419,-0.014,0.931,-1.404,-0.122,0.122
0.418,-0.005,0.934,-2.014,-0.366,-0.061
0.417,-0.004,0.939,-1.953,-1.282,-0.061
0.415,-0.004,0.932,-1.221,-1.831,0.122
0.415,-0.008,0.926,-0.183,-1.648,0.244
0.416,-0.011,0.917,0.488,-1.221,0.305
0.415,-0.010,0.911,0.427,-0.122,0.549
0.558,-0.256,2.220,-33.447,-79.041,-33.508

0.572,-0.447,2.615,-42.358,-88.440,-39.246
0.502,-0.667,3.029,-52.490,-89.539,-46.692
0.236,-0.826,3.359,-61.340,-77.942,-57.129
-0.200,-0.876,3.550,-65.369,-45.654,-69.275
-0.638,-0.906,3.667,-63.171,10.010,-80.078
-0.982,-0.976,3.714,-52.856,82.458,-88.135
-1.238,-1.007,3.679,-42.114,158.447,-93.079
-1.422,-0.919,3.620,-34.546,228.821,-94.177
-1.560,-0.799,3.537,-17.944,286.316,-88.989
-1.731,-0.685,3.217,18.860,324.524,-73.730
-1.887,-0.640,2.616,67.993,344.360,-44.067
-1.951,-0.673,1.859,114.075,353.821,-1.343
-1.919,-0.703,1.082,143.433,355.713,49.988
-1.770,-0.683,0.368,150.391,348.450,102.905
-1.506,-0.560,-0.161,137.207,331.787,150.146
-1.201,-0.302,-0.480,112.183,305.542,189.270
-0.932,-0.041,-0.784,94.910,270.996,218.201
-0.632,0.031,-1.149,94.238,231.445,233.337
-0.316,-0.042,-1.439,96.741,189.697,229.675
-0.104,-0.006,-1.751,88.013,150.208,208.191
0.007,0.061,-1.753,59.326,119.812,181.396
0.057,0.303,-1.486,17.700,95.947,158.875
0.102,0.531,-1.127,-16.541,72.144,144.531
0.135,0.728,-0.752,-34.424,44.617,137.329
0.160,0.867,-0.480,-36.377,11.841,133.789
0.184,0.984,-0.320,-26.489,-21.484,131.592
0.195,1.049,-0.184,-13.123,-49.194,130.981
0.215,1.051,-0.029,-4.883,-68.176,132.080
0.266,1.035,0.131,-2.319,-78.125,132.019
0.384,0.960,0.295,-0.183,-81.299,125.488
0.500,0.816,0.444,4.517,-81.177,106.628
0.527,0.755,0.495,11.292,-78.796,76.721
0.518,0.762,0.521,13.672,-71.655,45.166
0.512,0.772,0.602,8.728,-57.861,20.874
0.518,0.752,0.751,0.427,-42.664,5.676
0.521,0.740,0.867,-3.601,-31.677,-2.075
0.537,0.688,0.932,-0.854,-26.489,-5.371
0.558,0.591,0.970,4.639,-25.757,-7.935
0.544,0.514,0.949,10.437,-27.466,-11.536
0.527,0.416,0.937,13.428,-28.748,-15.564
0.507,0.324,0.921,14.160,-28.625,-20.081
0.481,0.250,0.914,13.062,-26.978,-24.902
0.440,0.208,0.906,9.827,-23.926,-29.053
0.417,0.160,0.947,6.042,-19.958,-31.677
0.395,0.153,0.977,2.747,-17.334,-33.081
0.372,0.126,1.003,1.099,-16.479,-32.776
0.363,0.085,0.994,1.892,-16.785,-31.128
0.366,0.036,0.983,2.380,-16.968,-29.541
0.367,0.001,0.983,1.221,-16.357,-28.137
0.356,-0.012,0.982,-0.549,-15.503,-27.222
0.350,-0.016,0.984,-2.686,-14.099,-26.001
0.343,-0.002,0.995,-4.639,-12.634,-24.109
